"matchId","matchCreation","summonerId","championId","winner","firstBloodKill","firstTowerKill","firstTowerAssist","kills","assists","deaths","goldEarned","totalDamageDealt","magicDamageDealt","physicalDamageDealt","totalDamageDealtToChampions","totalDamageTaken","minionsKilled","neutralMinionsKilled","totalTimeCrowdControlDealt","wardsPlaced","towerKills","largestMultiKill","largestKillingSpree","largestCriticalStrike","totalHeal"
456163118,1421844472829,3412480,83,1,0,1,0,7,4,0,7403,55196,18886,35417,11672,11181,94,0,1191,5,3,1,7,0,5276
456163118,1421844472829,4989779,121,1,0,0,0,1,6,1,5944,53555,6053,41898,4561,12965,10,31,316,10,1,1,0,0,2050
456163118,1421844472829,9043305,107,0,0,0,0,0,0,1,3717,23345,6797,12078,893,5694,17,20,220,4,0,0,0,0,624
456163118,1421844472829,3357239,104,0,0,0,0,2,0,4,5297,51066,1815,49251,7013,10669,98,1,43,1,0,1,0,169,1618
456163118,1421844472829,1331709,103,0,0,0,0,2,0,4,4992,46770,21606,14926,9067,9016,84,0,65,5,0,1,0,0,982
456163118,1421844472829,3922699,2,0,0,0,0,0,1,9,3974,27181,119,23865,6489,13078,52,1,717,4,0,0,0,0,115
456163118,1421844472829,2878810,412,0,0,0,0,0,3,10,3774,8557,6229,2327,4269,16492,14,0,130,7,0,0,0,0,590
456168741,1421847752291,1070313,1,1,0,0,0,13,7,7,12632,110585,95623,13867,29267,16648,142,5,173,7,1,3,5,0,0
456168741,1421847752291,1988793,25,1,0,0,1,1,19,5,9127,26965,19911,7054,10841,13581,27,2,120,21,0,1,0,0,100
456168741,1421847752291,3997495,254,1,0,1,0,10,4,6,11718,135314,6135,119896,16683,21317,38,56,376,4,1,2,4,566,169
456168741,1421847752291,4851499,18,1,0,0,1,8,11,4,13654,168943,39222,128935,18263,19416,187,30,160,7,3,1,3,589,991
456168741,1421847752291,3040260,58,1,0,0,0,1,14,2,10447,103807,21525,82282,10863,22294,152,0,44,5,1,1,0,0,4119
456168741,1421847752291,10546710,150,0,0,0,0,0,5,5,9878,146685,12647,134038,14540,21492,198,4,615,12,0,0,0,692,348
456168741,1421847752291,772930,89,0,0,0,0,2,10,6,7480,26121,15649,7805,7859,19752,29,0,152,22,0,1,0,0,958
456168741,1421847752291,1411572,15,0,0,0,0,4,7,7,11919,157363,2448,154525,14075,16816,228,16,70,4,1,1,2,734,1836
456168741,1421847752291,3092162,7,0,1,0,0,9,4,9,10698,84341,72448,11302,15421,20707,102,7,72,3,1,2,3,0,2207
456168741,1421847752291,4977131,421,0,0,0,0,9,4,6,11089,125783,25689,90166,16857,30639,44,57,579,10,0,1,2,0,6819
456188065,1421850163601,6657953,39,0,0,0,0,4,2,6,10833,101212,6503,90544,15821,30179,184,0,1208,3,0,2,2,375,6605
456188065,1421850163601,2584130,103,0,0,0,0,12,7,7,12903,132677,86032,15753,30285,18139,152,12,50,12,1,2,4,0,3339
456188065,1421850163601,526177,222,0,0,0,0,6,7,6,12311,179667,16496,162410,18428,23482,196,7,268,3,0,1,3,766,2371
456188065,1421850163601,5874781,59,0,0,0,0,3,13,6,10495,96410,15592,73219,8683,28983,70,19,647,9,2,1,0,0,885
456188065,1421850163601,1201517,25,0,0,0,0,2,14,5,10566,61975,54471,7503,15040,17507,44,1,168,22,0,1,0,0,160
456188065,1421850163601,4046098,201,1,0,0,0,1,21,4,10594,35313,12541,14844,8624,27516,38,2,778,17,1,1,0,0,6324
456188065,1421850163601,5711295,62,1,1,0,0,7,11,3,15007,192664,7350,184588,28661,27229,219,17,139,10,4,2,4,0,1741
456188065,1421850163601,767723,105,1,0,0,0,15,3,6,14390,97851,69417,27149,19390,18905,99,19,240,8,1,2,8,0,262
456188065,1421850163601,528628,15,1,0,0,0,4,13,8,15050,209296,444,208094,20260,24263,247,20,96,12,2,1,2,865,2548
456188065,1421850163601,6575347,28,1,0,0,0,3,14,7,12233,103628,60858,35428,13448,23046,59,37,165,11,1,1,0,0,1066
456186682,1421849385907,2865037,412,0,0,0,0,0,3,3,4295,10579,7084,3495,2245,8906,15,1,79,14,0,0,0,0,879
456186682,1421849385907,1090559,222,0,0,0,0,0,0,2,4669,53404,708,52696,3866,9500,81,6,36,2,0,0,0,408,1280
456186682,1421849385907,1937052,36,0,0,0,0,0,2,4,5601,50472,32027,18444,7631,11098,119,0,203,3,0,0,0,0,5264
456186682,1421849385907,443836,127,0,0,0,0,1,2,5,6146,64099,56328,7319,9184,10589,128,5,197,2,0,1,0,0,369
456186682,1421849385907,2161914,121,0,0,0,0,6,0,4,6165,48808,3872,40925,6494,15789,10,36,200,2,0,1,4,0,1609
456186682,1421849385907,3072513,238,1,1,0,0,4,6,3,9094,90597,4280,85709,13015,11322,156,4,97,8,0,1,2,0,69
456186682,1421849385907,5273595,236,1,0,1,0,6,1,1,9890,118225,2085,116140,10010,8585,166,16,0,1,2,3,6,537,974
456186682,1421849385907,980350,54,1,0,0,1,3,5,0,6247,27533,11639,13103,5930,8514,33,0,339,13,1,1,3,0,1618
456186682,1421849385907,4018054,24,1,0,0,0,3,2,3,7697,63083,11377,51706,8565,12319,115,3,41,4,3,1,0,0,591
456186682,1421849385907,2653961,32,1,0,0,0,2,6,0,7154,63212,40491,10858,4934,12609,19,44,240,2,0,1,2,0,1632
456190237,1421848487637,4811222,86,0,0,0,0,1,2,5,6347,58527,15922,42318,4624,18381,79,0,32,0,1,1,0,0,135
456190237,1421848487637,2590297,267,0,0,0,0,2,7,5,6800,29194,16971,12223,8427,10220,24,0,150,5,2,1,0,0,3979
456190237,1421848487637,5464897,104,0,0,0,0,5,3,4,8404,82147,4689,77457,9059,10772,118,6,79,3,0,2,4,659,247
456190237,1421848487637,7545039,111,0,0,0,0,2,5,7,6968,71454,41332,19335,7112,18050,14,41,597,5,0,1,0,0,853
456190237,1421848487637,543202,7,0,0,0,0,2,2,6,6048,45728,32525,13156,7855,12690,57,7,30,0,0,1,0,0,316
456190237,1421848487637,6462975,1,1,0,0,0,13,4,1,10972,88871,69172,19100,23084,8617,130,0,80,7,0,4,9,0,302
456190237,1421848487637,3810507,19,1,0,0,0,1,9,3,8720,98657,32559,58969,5018,23310,50,51,240,1,1,1,0,0,11781
456190237,1421848487637,3912450,222,1,1,1,0,8,6,2,11697,151890,10123,141426,12699,8659,199,12,187,6,2,3,4,617,1061
456190237,1421848487637,2372201,13,1,0,0,0,4,2,2,7949,44528,22712,21504,7402,5892,99,0,730,4,2,2,3,0,112
456190237,1421848487637,2528430,53,1,0,0,1,1,11,4,7391,29764,17147,9574,5550,13952,25,3,489,6,0,1,0,0,1489
456219908,1421858050353,4986725,236,0,0,0,0,8,5,7,10861,104748,1651,103096,19360,17486,169,8,0,6,1,1,3,724,2446
456219908,1421858050353,1403323,122,0,0,0,0,7,7,5,9738,70284,5399,60595,16300,23482,122,0,355,4,0,2,2,0,351
456219908,1421858050353,1830991,25,0,0,0,0,1,8,3,6771,33015,27851,5163,10781,10714,26,0,97,16,0,1,0,0,95
456219908,1421858050353,2171192,10,0,0,0,0,3,7,7,7988,65020,44787,19922,7783,20085,93,2,105,9,0,1,0,0,5293
456219908,1421858050353,986448,254,0,0,0,0,3,10,3,9493,120818,4789,102355,13262,15907,48,53,572,0,1,1,3,373,1242
456219908,1421858050353,5511888,19,1,0,0,0,3,9,7,8406,56461,22386,27392,8312,28498,18,30,60,3,0,1,0,0,8859
456219908,1421858050353,2522164,238,1,1,0,0,8,4,4,13506,191780,5937,185276,21450,17637,238,15,253,13,1,2,4,790,1503
456219908,1421858050353,9417451,150,1,0,0,0,5,8,5,9758,74374,2854,71520,19787,17070,106,0,451,8,2,1,2,354,900
456219908,1421858050353,4379742,15,1,0,0,0,9,5,4,13814,180928,11376,169228,16055,13651,228,19,78,5,3,3,5,810,1514
456219908,1421858050353,9543804,53,1,0,0,0,0,9,2,6939,28619,22989,5344,6773,12590,23,1,69,9,1,0,0,0,381
456198984,1421852513421,985531,412,1,0,0,0,0,15,4,8517,33248,23826,9421,6303,15349,58,0,136,24,1,0,0,0,3153
456198984,1421852513421,1685054,25,1,0,0,0,11,11,2,12602,116960,98985,17049,22964,14589,154,11,150,14,1,1,6,0,998
456198984,1421852513421,5925133,421,1,0,0,0,5,8,4,11877,156167,7323,146666,16835,22542,188,16,448,5,1,2,4,0,7753
456198984,1421852513421,1832907,32,1,0,0,0,4,15,1,10354,104531,74644,16490,11835,18869,25,59,365,7,0,1,2,0,2124
456198984,1421852513421,514876,104,1,0,0,0,8,6,3,13019,158739,13042,144238,16312,11237,225,9,233,5,2,2,5,768,338
456198984,1421852513421,1726525,58,0,1,0,0,5,1,6,10722,139040,2120,136281,16214,27769,223,0,138,6,0,1,2,0,5057
456198984,1421852513421,3865759,103,0,0,0,0,2,4,5,9040,101163,50984,19113,7530,14408,150,21,9,2,1,1,0,0,1276
456198984,1421852513421,504789,18,0,0,0,0,6,3,5,10607,116434,37409,78422,16531,17514,181,0,157,6,1,2,3,569,1104
456198984,1421852513421,551311,62,0,0,0,0,1,6,7,8495,104667,9528,86564,8545,25400,44,48,245,6,0,1,0,0,905
456198984,1421852513421,1683290,267,0,0,0,0,0,9,5,7190,13279,9362,3917,8580,12590,12,0,107,14,0,0,0,0,4946
456191262,1421848982319,760160,267,1,0,0,0,0,21,2,10418,22317,15156,7010,10932,17036,14,1,151,27,0,0,0,0,8071
456191262,1421848982319,1431004,127,1,0,0,0,5,7,7,13044,156369,142599,13528,15568,23628,203,8,351,9,1,1,2,0,599
456191262,1421848982319,411168,61,1,0,0,0,5,9,7,14023,189803,167568,21535,20172,17264,220,42,1419,12,2,1,3,0,870
