"matchId","summonerId","Win","FirstBlood","FirstTower","FirstTowerAssist","Kills","Assists","Deaths","GoldEarned","TotalDamageDealt","MagicDamageDealt","PhysicalDamageDealt","TotalDamageDealtToChampions","TotalDamageTaken","MinionsKilled","NeutralMinionsKilled","CrowdControl","WardsPlaced","TowerKills","LargestMultiKill","LargestKillingSpree","LargestCritStrike","TotalHealAmount"
456161516,2437094,0,1,0,0,2,0,5,7187,68097,14277,53819,8291,12114,145,0,257,3,1,1,2,0,1486
456161516,2492780,0,0,0,0,9,1,4,8717,68405,33860,11639,12772,13327,103,2,46,7,0,2,6,0,1238
456161516,488975,0,0,0,0,1,6,4,7801,100119,16446,72889,3647,21018,26,70,579,2,0,1,0,0,1438
456163118,3317781,1,0,0,0,5,1,1,6678,49348,33006,16036,7173,9162,89,4,156,5,1,1,4,0,146
456163118,3841498,1,1,0,0,13,1,0,8395,66007,11056,54950,16383,7464,100,0,0,2,0,1,13,430,790
456163118,1652208,1,0,0,0,2,7,2,5820,24511,19665,3026,6669,5590,17,0,70,9,1,1,0,0,0
456163118,3412480,1,0,1,0,7,4,0,7403,55196,18886,35417,11672,11181,94,0,1191,5,3,1,7,0,5276
456163118,4989779,1,0,0,0,1,6,1,5944,53555,6053,41898,4561,12965,10,31,316,10,1,1,0,0,2050
456163118,9043305,0,0,0,0,0,0,1,3717,23345,6797,12078,893,5694,17,20,220,4,0,0,0,0,624
456163118,3357239,0,0,0,0,2,0,4,5297,51066,1815,49251,7013,10669,98,1,43,1,0,1,0,169,1618
456163118,1331709,0,0,0,0,2,0,4,4992,46770,21606,14926,9067,9016,84,0,65,5,0,1,0,0,982
456163118,3922699,0,0,0,0,0,1,9,3974,27181,119,23865,6489,13078,52,1,717,4,0,0,0,0,115
456163118,2878810,0,0,0,0,0,3,10,3774,8557,6229,2327,4269,16492,14,0,130,7,0,0,0,0,590
456168741,1070313,1,0,0,0,13,7,7,12632,110585,95623,13867,29267,16648,142,5,173,7,1,3,5,0,0
456168741,1988793,1,0,0,1,1,19,5,9127,26965,19911,7054,10841,13581,27,2,120,21,0,1,0,0,100
456168741,3997495,1,0,1,0,10,4,6,11718,135314,6135,119896,16683,21317,38,56,376,4,1,2,4,566,169
456168741,4851499,1,0,0,1,8,11,4,13654,168943,39222,128935,18263,19416,187,30,160,7,3,1,3,589,991
456168741,3040260,1,0,0,0,1,14,2,10447,103807,21525,82282,10863,22294,152,0,44,5,1,1,0,0,4119
456168741,10546710,0,0,0,0,0,5,5,9878,146685,12647,134038,14540,21492,198,4,615,12,0,0,0,692,348
456168741,772930,0,0,0,0,2,10,6,7480,26121,15649,7805,7859,19752,29,0,152,22,0,1,0,0,958
456168741,1411572,0,0,0,0,4,7,7,11919,157363,2448,154525,14075,16816,228,16,70,4,1,1,2,734,1836
456168741,3092162,0,1,0,0,9,4,9,10698,84341,72448,11302,15421,20707,102,7,72,3,1,2,3,0,2207
456168741,4977131,0,0,0,0,9,4,6,11089,125783,25689,90166,16857,30639,44,57,579,10,0,1,2,0,6819
456170465,3811799,1,0,0,0,6,13,4,14056,170825,10892,158909,24936,17480,180,21,1345,7,4,1,2,946,454
